Defect,meanEstimate,meanIntercept,corrMeanEstimate
Bruise (OLD),0.002592810302417789,-1.911979952140678,0.002592810302417789
Puncture,8.472409852702423e-4,-2.060836553650602,8.472409852702423e-4
Cuts,-0.0016131921181957007,-2.877003452861409,0
Bruise (fresh),0.0013650985871656183,-3.300351951910446,0.0013650985871656183
Stem Split,-0.003578051959537905,-3.120648773275059,0
Shrivel,0.014376211220828192,-6.2151072297040875,0.014376211220828192
Blemish Cosmetic,-0.006554285360579562,-3.484609941756127,0
Lenticle Spot,0.008030006541349789,-4.40583951324357,0.008030006541349789
Stem end browning,0.008299434822975755,-5.926975625197999,0.008299434822975755
